TradingDay,InnerCode,ClosePrice
2010/8/20 0:00,6455,134.44
2010/8/23 0:00,6455,134.47
2010/8/24 0:00,6455,134.47
2010/8/25 0:00,6455,134.64
2010/8/26 0:00,6455,134.59
2010/8/27 0:00,6455,134.59
2010/8/30 0:00,6455,134.85
2010/8/31 0:00,6455,134.68
2010/9/1 0:00,6455,134.71
2010/9/2 0:00,6455,134.82
2010/9/3 0:00,6455,134.81
2010/9/6 0:00,6455,134.84
2010/9/7 0:00,6455,134.88
2010/9/8 0:00,6455,134.77
2010/9/9 0:00,6455,134.89
2010/9/10 0:00,6455,134.86
2010/9/13 0:00,6455,134.83
2010/9/14 0:00,6455,134.78
2010/9/15 0:00,6455,134.74
2010/9/16 0:00,6455,134.71
2010/9/17 0:00,6455,134.63
2010/9/20 0:00,6455,134.52
2010/9/21 0:00,6455,134.54
2010/9/27 0:00,6455,134.6
2010/9/28 0:00,6455,134.72
2010/9/29 0:00,6455,134.79
2010/9/30 0:00,6455,134.8
2010/10/8 0:00,6455,134.87
2010/10/11 0:00,6455,134.73
2010/10/12 0:00,6455,134.52
2010/10/13 0:00,6455,134.54
2010/10/14 0:00,6455,134.55
2010/10/15 0:00,6455,134.55
2010/10/18 0:00,6455,134.54
2010/10/19 0:00,6455,134.58
2010/10/20 0:00,6455,134.08
2010/10/21 0:00,6455,133.71
2010/10/22 0:00,6455,133.54
2010/10/25 0:00,6455,133.61
2010/10/26 0:00,6455,133.51
2010/10/27 0:00,6455,133.34
2010/10/28 0:00,6455,133.37
2010/10/29 0:00,6455,133.35
2010/11/1 0:00,6455,133.41
2010/11/2 0:00,6455,133.35
2010/11/3 0:00,6455,133.15
2010/11/4 0:00,6455,132.87
2010/11/5 0:00,6455,132.64
2010/11/8 0:00,6455,132.47
2010/11/9 0:00,6455,132.48
2010/11/10 0:00,6455,132.03
2010/11/11 0:00,6455,131.43
2010/11/12 0:00,6455,131.25
2010/11/15 0:00,6455,131.25
2010/11/16 0:00,6455,131.12
2010/11/17 0:00,6455,131.18
2010/11/18 0:00,6455,131.33
2010/11/19 0:00,6455,131.23
2010/11/22 0:00,6455,130.96
2010/11/23 0:00,6455,130.79
2010/11/24 0:00,6455,130.69
2010/11/25 0:00,6455,130.64
2010/11/26 0:00,6455,130.72
2010/11/29 0:00,6455,130.66
2010/11/30 0:00,6455,130.63
2010/12/1 0:00,6455,130.61
2010/12/2 0:00,6455,130.74
2010/12/3 0:00,6455,131.03
2010/12/6 0:00,6455,131.02
2010/12/7 0:00,6455,130.9
2010/12/8 0:00,6455,130.99
2010/12/9 0:00,6455,131.22
2010/12/10 0:00,6455,131.3
2010/12/13 0:00,6455,131.41
2010/12/14 0:00,6455,131.26
2010/12/15 0:00,6455,131.39
2010/12/16 0:00,6455,131.56
2010/12/17 0:00,6455,131.7
2010/12/20 0:00,6455,131.77
2010/12/21 0:00,6455,131.79
2010/12/22 0:00,6455,131.67
2010/12/23 0:00,6455,131.62
2010/12/24 0:00,6455,131.81
2010/12/27 0:00,6455,131.49
2010/12/28 0:00,6455,131.25
2010/12/29 0:00,6455,131.52
2010/12/30 0:00,6455,131.56
2010/12/31 0:00,6455,131.75
2011/1/4 0:00,6455,131.91
2011/1/5 0:00,6455,132.03
2011/1/6 0:00,6455,131.84
2011/1/7 0:00,6455,131.91
2011/1/10 0:00,6455,131.92
2011/1/11 0:00,6455,131.75
2011/1/12 0:00,6455,132.06
2011/1/13 0:00,6455,131.87
2011/1/14 0:00,6455,131.76
2011/1/17 0:00,6455,131.83
2011/1/18 0:00,6455,131.24
2011/1/19 0:00,6455,131.28
2011/1/20 0:00,6455,131.32
2011/1/21 0:00,6455,131.43
2011/1/24 0:00,6455,131.38
2011/1/25 0:00,6455,131.26
2011/1/26 0:00,6455,131.34
2011/1/27 0:00,6455,131.32
2011/1/28 0:00,6455,131.67
2011/1/31 0:00,6455,131.65
2011/2/1 0:00,6455,131.78
2011/2/9 0:00,6455,130.89
2011/2/10 0:00,6455,130.83
2011/2/11 0:00,6455,130.81
2011/2/14 0:00,6455,131.04
2011/2/15 0:00,6455,131
2011/2/16 0:00,6455,131.18
2011/2/17 0:00,6455,131.16
2011/2/18 0:00,6455,131
2011/2/21 0:00,6455,131
2011/2/22 0:00,6455,130.77
2011/2/23 0:00,6455,130.95
2011/2/24 0:00,6455,131.08
2011/2/25 0:00,6455,131.28
2011/2/28 0:00,6455,131.37
2011/3/1 0:00,6455,131.42
2011/3/2 0:00,6455,131.35
2011/3/3 0:00,6455,131.4
2011/3/4 0:00,6455,131.48
2011/3/7 0:00,6455,131.4
2011/3/8 0:00,6455,131.56
2011/3/9 0:00,6455,131.62
2011/3/10 0:00,6455,131.71
2011/3/11 0:00,6455,131.53
2011/3/14 0:00,6455,131.77
2011/3/15 0:00,6455,131.87
2011/3/16 0:00,6455,131.93
2011/3/17 0:00,6455,131.97
2011/3/18 0:00,6455,131.94
2011/3/21 0:00,6455,131.76
2011/3/22 0:00,6455,132.12
2011/3/23 0:00,6455,131.82
2011/3/24 0:00,6455,132.09
2011/3/25 0:00,6455,132.09
2011/3/28 0:00,6455,132.09
2011/3/29 0:00,6455,132.17
2011/3/30 0:00,6455,132.31
2011/3/31 0:00,6455,132.31
2011/4/1 0:00,6455,132.25
2011/4/6 0:00,6455,132.05
2011/4/7 0:00,6455,132.15
2011/4/8 0:00,6455,132.15
2011/4/11 0:00,6455,132.27
2011/4/12 0:00,6455,132.4
2011/4/13 0:00,6455,132.52
2011/4/14 0:00,6455,132.57
2011/4/15 0:00,6455,132.54
2011/4/18 0:00,6455,132.45
2011/4/19 0:00,6455,132.48
2011/4/20 0:00,6455,132.47
2011/4/21 0:00,6455,132.5
2011/4/22 0:00,6455,132.46
2011/4/25 0:00,6455,132.47
2011/4/26 0:00,6455,132.48
2011/4/27 0:00,6455,132.57
2011/4/28 0:00,6455,132.65
2011/4/29 0:00,6455,132.84
2011/5/3 0:00,6455,133.01
2011/5/4 0:00,6455,132.68
2011/5/5 0:00,6455,133.49
2011/5/6 0:00,6455,133.77
2011/5/9 0:00,6455,133.9
2011/5/10 0:00,6455,133.86
2011/5/11 0:00,6455,133.88
2011/5/12 0:00,6455,133.92
2011/5/13 0:00,6455,133.96
2011/5/16 0:00,6455,133.95
2011/5/17 0:00,6455,133.98
2011/5/18 0:00,6455,133.99
2011/5/19 0:00,6455,133.9
2011/5/20 0:00,6455,133.99
2011/5/23 0:00,6455,134.02
2011/5/24 0:00,6455,134.02
2011/5/25 0:00,6455,134.06
2011/5/26 0:00,6455,134.07
2011/5/27 0:00,6455,134.04
2011/5/30 0:00,6455,134.07
2011/5/31 0:00,6455,134.08
2011/6/1 0:00,6455,134.08
2011/6/2 0:00,6455,134.04
2011/6/3 0:00,6455,134.08
2011/6/7 0:00,6455,134.11
2011/6/8 0:00,6455,134.02
